service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3202_1,0,0,0,0,0,0,0,20220206,20220312
208_5_1,0,0,0,0,0,0,0,20220206,20220312
520_1,0,0,0,0,0,0,0,20220206,20220312
12_2_1,0,0,0,0,0,0,0,20220206,20220312
3311_1,0,0,0,0,0,0,0,20220206,20220312
2081_1,0,0,0,0,0,0,0,20220206,20220312
114_4_1,0,0,0,0,0,0,0,20220206,20220312
109_2_1,0,0,0,0,0,0,0,20220206,20220312
609_1,0,0,0,0,0,0,0,20220206,20220312
102_3_1,0,0,0,0,0,0,0,20220206,20220312
4_4_1,0,0,0,0,0,0,0,20220206,20220312
3201_1,0,0,0,0,0,0,0,20220206,20220312
437_1_1,0,0,0,0,0,0,0,20220206,20220312
15_4_1,0,0,0,0,0,0,0,20220206,20220312
123_1,0,0,0,0,0,0,0,20220206,20220312
104_2_1,0,0,0,0,0,0,0,20220206,20220312
405_2_1,0,0,0,0,0,0,0,20220206,20220312
89_1,0,0,0,0,0,0,0,20220206,20220312
14_1_1,0,0,0,0,0,0,0,20220206,20220312
205_3_1,0,0,0,0,0,0,0,20220206,20220312
402_1,0,0,0,0,0,0,0,20220206,20220312
121_1_1,0,0,0,0,0,0,0,20220206,20220312
505_2_1,0,0,0,0,0,0,0,20220206,20220312
406_2_1,0,0,0,0,0,0,0,20220206,20220312
425_1,0,0,0,0,0,0,0,20220206,20220312
301_2_1,0,0,0,0,0,0,0,20220206,20220312
1052_1,0,0,0,0,0,0,0,20220206,20220312
27_1_1,0,0,0,0,0,0,0,20220206,20220312
156_1,0,0,0,0,0,0,0,20220206,20220312
116_1,0,0,0,0,0,0,0,20220206,20220312
205_5_1,0,0,0,0,0,0,0,20220206,20220312
137_1,0,0,0,0,0,0,0,20220206,20220312
151_1,0,0,0,0,0,0,0,20220206,20220312
2032_1,0,0,0,0,0,0,0,20220206,20220312
232_1,0,0,0,0,0,0,0,20220206,20220312
5_1,0,0,0,0,0,0,0,20220206,20220312
112_1,0,0,0,0,0,0,0,20220206,20220312
226_1,0,0,0,0,0,0,0,20220206,20220312
603_1_1,0,0,0,0,0,0,0,20220206,20220312
318_1,0,0,0,0,0,0,0,20220206,20220312
214_2_1,0,0,0,0,0,0,0,20220206,20220312
6_1_1,0,0,0,0,0,0,0,20220206,20220312
505_1,0,0,0,0,0,0,0,20220206,20220312
612_1,0,0,0,0,0,0,0,20220206,20220312
427_1,0,0,0,0,0,0,0,20220206,20220312
73_1,0,0,0,0,0,0,0,20220206,20220312
219_1,0,0,0,0,0,0,0,20220206,20220312
307_2_1,0,0,0,0,0,0,0,20220206,20220312
59_1,0,0,0,0,0,0,0,20220206,20220312
111_3_1,0,0,0,0,0,0,0,20220206,20220312
103_2_1,0,0,0,0,0,0,0,20220206,20220312
310_4_1,0,0,0,0,0,0,0,20220206,20220312
2042_1,0,0,0,0,0,0,0,20220206,20220312
2012_1,0,0,0,0,0,0,0,20220206,20220312
307_1_1,0,0,0,0,0,0,0,20220206,20220312
112_4_1,0,0,0,0,0,0,0,20220206,20220312
220_1,0,0,0,0,0,0,0,20220206,20220312
310_3_1,0,0,0,0,0,0,0,20220206,20220312
50_1_1,0,0,0,0,0,0,0,20220206,20220312
116_4_1,0,0,0,0,0,0,0,20220206,20220312
503_1_1,0,0,0,0,0,0,0,20220206,20220312
