route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
2610,22_4,261__0__123__UZM__22__4__22__4,,0,,[@366.0.28965564@]1,,2,123
2200,312_5,220__0__463__TZM__312__5__312__5,,0,,[@356.0.45924825@]1,,2,463
9,CCL Sa,CCL__0__10471__WCCL__CCL_Sa,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10471
30,37,3__0__717__NBM__37__37,,0,,[@360.0.6959122@]2,,2,717
1210,407_5,121__0__415__TZM__407__5__407__5,,0,,[@356.0.42934812@]1,,2,415
10,208_5,1__0__461__TZM__208__5__208__5,,0,,[@364.0.17528045@]12,,2,461
520,2041,52__1__420__MNM__2041__2041,,1,,[@360.0.6959370@]52:307#10264#10319,,2,420
10,210_5,1__0__417__TZM__210__5__210__5,,0,,[@364.0.17528045@]10,,2,417
6,Rail MTuWThF-XHol,JVL__0__9222__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9222
6,Rail MTuWThF-XHol,JVL__0__9274__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9274
2300,303_10,230__1__724__TZM__303__10__303__10,,1,,[@356.0.45924869@]230:656#21228#21251,,2,724
1450,418_3,145__1__120__TZM__418__3__418__3,,1,,[@6.0.21845666@]6,,2,120
2200,305_5,220__1__402__TZM__305__5__305__5,,1,,[@356.0.45924825@]5,,2,402
1300,420_3,130__1__446__TZM__420__3__420__3,,1,,[@364.0.17527495@]1,,2,446
5,Rail SaSu+Hol,HVL__1__3839__RAIL__Rail_SaSu+Hol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3839
1600,608_1,160__0__111__TZM__608__1__608__1,,0,,[@356.0.42935312@]4,,2,111
9,CCL Su+Hol-Xmas,CCL__1__10448__WCCL__CCL_Su+Hol-Xmas,,1,,[@6.0.98043685@]CCL:857#24726#24728,,2,10448
1300,521_1,130__1__194__TZM__521__1__521__1,,1,,[@364.0.17527495@]1,,2,194
140,9,14__0__735__NBM__9__9,,0,,[@364.0.23225636@]2,,2,735
10,204_9,1__0__503__TZM__204__9__204__9,,0,,[@364.0.17528045@]10,,2,503
2360,312_8,236__0__415__TZM__312__8__312__8,,0,,[@356.0.45924880@]236:670#21452#21487,,2,415
250,101_1,25__1__400__TZM__101__1__101__1,,1,,[@6.0.22281071@]2,,2,400
1200,403_6,120__1__178__TZM__403__6__403__6,,1,,[@364.0.17527449@]2,,2,178
220,13_2,22__0__449__NBM__13__2__13__2,,0,,[@364.0.23227132@]6,,2,449
30,9,3__1__720__NBM__9__9,,1,,[@360.0.6959122@]1,,2,720
2200,301_5,220__1__706__TZM__301__5__301__5,,1,,[@356.0.45924825@]5,,2,706
140,8_1,14__0__459__NBM__8__1__8__1,,0,,[@364.0.23225636@]2,,2,459
2,Rail Sa,KPL__1__6407__RAIL__Rail_Sa,,1,,[@6.0.20608271@]KPL:807#24379#24391,,2,6407
2360,312_5,236__1__418__TZM__312__5__312__5,,1,,[@356.0.45924880@]236:664#21302#21336,,2,418
70,119_3,7__1__732__TZM__119__3__119__3,,1,,[@364.0.17528115@]1,,2,732
230,101_1,23__1__428__TZM__101__1__101__1,,1,,[@364.0.17529510@]1,,2,428
70,107_4,7__1__754__TZM__107__4__107__4,,1,,[@364.0.17528115@]1,,2,754
20,32_1,2__0__439__NBM__32__1__32__1,,0,,[@364.0.23226994@]5,,2,439
2300,303_8,230__0__413__TZM__303__8__303__8,,0,,[@356.0.45924869@]230:660#21265#21288,,2,413
370,36_2,37__0__101__NBM__36__2__36__2,,0,,[@360.0.6959359@]1,,2,101
20,41_1,2__1__514__NBM__41__1__41__1,,1,,[@364.0.23226994@]2,,2,514
20,244,2__0__491__NBM__244__244,,0,,[@364.0.23226994@]5,,2,491
1140,506_5,114__1__122__TZM__506__5__506__5,,1,,[@356.0.42935130@]114:450#14408#14428,,2,122
20,31_3,2__1__572__NBM__31__3__31__3,,1,,[@364.0.23226994@]10,,2,572
1540,405_5,154__0__113__TZM__405__5__405__5,,0,,[@360.0.75331279@]1,,2,113
